Name,Category,Field,Year,Frequency
Marie Curie,Chemistry,Nuclear Chemistry,1911,1
Irène Joliot-Curie,Chemistry,Nuclear Chemistry,1935,1
Dorothy Crowfoot Hodgkin,Chemistry,Biochemistry/Structural Chemistry,1964,1
Ada E. Yonath,Chemistry,Biochemistry/Structural Chemistry,2009,1
Elinor Ostrom,Economic Sciences,Economic Governance,2009,1
Selma Lagerlöf,Literature,Prose,1909,1
Grazia Deledda,Literature,Prose,1926,1
Sigrid Undset,Literature,Prose,1928,1
Pearl Buck,Literature,Prose,1938,1
Gabriela Mistral,Literature,Poetry,1945,1
Nelly Sachs,Literature,Poetry,1966,1
Nadine Gordimer,Literature,Prose,1991,1
Toni Morrison,Literature,Prose,1993,1
Wislawa Szymborska,Literature,Poetry,1996,1
Elfriede Jelinek,Literature,Prose,2004,1
Doris Lessing,Literature,Prose,2007,1
Herta Müller,Literature,Prose,2009,1
Alice Munro,Literature,Prose,2013,1
Svetlana Alexievich,Literature,Prose,2015,1
Gerty Cori,Medicine/Physiology,Metabolism,1947,1
Rosalyn Yalow,Medicine/Physiology,Metabolism,1977,1
Barbara McClintock,Medicine/Physiology,Genetics,1983,1
Rita Levi-Montalcini,Medicine/Physiology,Biochemistry,1986,1
Gertrude B. Elion,Medicine/Physiology,Pharmacology,1988,1
Christiane Nüsslein-Volhard,Medicine/Physiology,Genetics,1995,1
Linda B. Buck,Medicine/Physiology,Genetics/Neurophysiology,2004,1
Françoise Barré-Sinoussi,Medicine/Physiology,Virology,2008,1
Carol W. Greider,Medicine/Physiology,Genetics,2009,1
Elizabeth H. Blackburn,Medicine/Physiology,Genetics,2009,1
May-Britt Moser,Medicine/Physiology,Spatial Behavior,2014,1
Youyou Tu,Medicine/Physiology,Disease (Malaria),2015,1
Marie Curie,Physics,Nuclear Physics,1903,1
Maria Goeppert Mayer,Physics,Nuclear Physics,1963,1
Bertha von Suttner,Peace,Peace Movement,1905,1
Jane Addams,Peace,Peace Movement,1931,1
Emily Greene Balch,Peace,Peace Movement,1946,1
Mairead Corrigan,Peace,Peace Movement,1976,1
Betty Williams,Peace,Peace Movement,1976,1
Mother Teresa,Peace,Humanitarian Work,1979,1
Alva Myrdal,Peace,Arms Control and Disarmament,1982,1
Aung San Suu Kyi,Peace,Human Rights,1991,1
Rigoberta Menchú Tum,Peace,Human Rights,1992,1
Jody Williams,Peace,Arms Control and Disarmament,1997,1
Shirin Ebadi,Peace,Human Rights,2003,1
Wangari Maathai,Peace,Humanitarian Work,2004,1
Tawakkol Karman,Peace,Peace Movement/Women's Rights,2011,1
Leymah Gbowee,Peace,Peace Movement/Women's Rights,2011,1
Ellen Johnson Sirleaf,Peace,Peace Movement/Women's Rights,2011,1
Malala Yousafzai,Peace,Children Education,2014,1
