Age,Name,Category,Year,Date of Birth
17,Malala Yousafzai,Peace,2014,12 July 1997
25,Lawrence Bragg,Physics,1915,31 March 1890
31,Werner Heisenberg,Physics,1932,5 December 1901
31,Tsung-Dao Lee,Physics,1957,24 November 1926
31,Carl D. Anderson,Physics,1936,3 September 1905
31,Paul A. M. Dirac,Physics,1933,8 August 1902
32,Frederick G. Banting,Medicine,1923,14 November 1891
32,Tawakkol Karman,Peace,2011,7 February 1979
32,Rudolf Mössbauer,Physics,1961,31 January 1929
32,Mairead Corrigan,Peace,1976,27 January 1944
33,Joshua Lederberg,Medicine,1958,23 May 1925
33,Betty Williams,Peace,1976,22 May 1943
33,Rigoberta Menchú Tum,Peace,1992,9 January 1959
